SamplingEvent,Year,StationName,Analyte,Conc,ConcUnits,Flow,LocType,Load,LoadUnits
"Dec 22-23, 2014",2014,CCSB- Overflow Weir,Chloride- filtered,42,mg/L,1200.1000000000001,Inlet,123.3,"1,000 kg/day"
"Dec 22-23, 2014",2014,CCSB- Overflow Weir,DOC,5.8,mg/L as C,1200.1000000000001,Inlet,17.03,"1,000 kg/day"
"Dec 22-23, 2014",2014,CCSB- Overflow Weir,MeHg- filtered,0.094,ng/L,1200.1000000000001,Inlet,0.276,g/day
"Dec 22-23, 2014",2014,CCSB- Overflow Weir,MeHg- particulate,0.0975,ng/L,1200.1000000000001,Inlet,0.2863,g/day
"Dec 22-23, 2014",2014,CCSB- Overflow Weir,MeHg- total,0.192,ng/L,1200.1000000000001,Inlet,0.5637,g/day
"Dec 22-23, 2014",2014,CCSB- Overflow Weir,POC,0.6,mg/L as C,1200.1000000000001,Inlet,1.762,"1,000 kg/day"
"Dec 22-23, 2014",2014,CCSB- Overflow Weir,THg- filtered,8.4,ng/L,1200.1000000000001,Inlet,24.66,g/day
"Dec 22-23, 2014",2014,CCSB- Overflow Weir,THg- particulate,34.2,ng/L,1200.1000000000001,Inlet,100.4,g/day
"Dec 22-23, 2014",2014,CCSB- Overflow Weir,THg- total,42.6,ng/L,1200.1000000000001,Inlet,125.1,g/day
"Dec 22-23, 2014",2014,CCSB- Overflow Weir,TOC,6.4,mg/L as C,1200.1000000000001,Inlet,18.79,"1,000 kg/day"
"Dec 22-23, 2014",2014,CCSB- Overflow Weir,TSS,89.5,mg/L,1200.1000000000001,Inlet,262.8,"1,000 kg/day"
"Dec 22-23, 2014",2014,CCSB- Overflow Weir,VSS,9.5,mg/L,1200.1000000000001,Inlet,27.89,"1,000 kg/day"
"Dec 22-23, 2014",2014,Knights Landing Ridge Cut,Chloride- filtered,15,mg/L,3808,Inlet,139.7,"1,000 kg/day"
"Dec 22-23, 2014",2014,Knights Landing Ridge Cut,DOC,8.7,mg/L as C,3808,Inlet,81.05,"1,000 kg/day"
"Dec 22-23, 2014",2014,Knights Landing Ridge Cut,MeHg- filtered,0.105,ng/L,3808,Inlet,0.9782,g/day
"Dec 22-23, 2014",2014,Knights Landing Ridge Cut,MeHg- particulate,0.105,ng/L,3808,Inlet,0.9782,g/day
"Dec 22-23, 2014",2014,Knights Landing Ridge Cut,MeHg- total,0.21,ng/L,3808,Inlet,1.956,g/day
"Dec 22-23, 2014",2014,Knights Landing Ridge Cut,POC,1.2,mg/L as C,3808,Inlet,11.18,"1,000 kg/day"
"Dec 22-23, 2014",2014,Knights Landing Ridge Cut,THg- filtered,2.6,ng/L,3808,Inlet,24.22,g/day
